Signature;reachable;found
"<io.netty.handler.ssl.SslContext: java.security.spec.PKCS8EncodedKeySpec generateKeySpec(char[],byte[])>";0;1
"<io.netty.handler.ssl.SslContext: java.security.spec.PKCS8EncodedKeySpec generateKeySpec(char[],byte[])>";0;1
"<io.netty.handler.ssl.SslContext: java.security.spec.PKCS8EncodedKeySpec generateKeySpec(char[],byte[])>";0;1
"<io.netty.handler.ssl.SslContext: java.security.spec.PKCS8EncodedKeySpec generateKeySpec(char[],byte[])>";0;1
"<io.netty.handler.ssl.SslContext: java.security.PrivateKey getPrivateKeyFromByteBuffer(io.netty.buffer.ByteBuf,java.lang.String)>";0;1
"<org.bitcoinj.core.CheckpointManager: org.bitcoinj.core.Sha256Hash readBinary(java.io.InputStream)>";0;0
"<org.bitcoinj.core.CheckpointManager: org.bitcoinj.core.Sha256Hash readBinary(java.io.InputStream)>";0;0
"<org.bitcoinj.core.CheckpointManager: org.bitcoinj.core.Sha256Hash readBinary(java.io.InputStream)>";0;0
"<org.bitcoinj.core.CheckpointManager: org.bitcoinj.core.Sha256Hash readBinary(java.io.InputStream)>";0;0
"<org.bitcoinj.core.CheckpointManager: org.bitcoinj.core.Sha256Hash readBinary(java.io.InputStream)>";0;0
"<org.bitcoinj.core.CheckpointManager: org.bitcoinj.core.Sha256Hash readTextual(java.io.InputStream)>";0;0
"<org.bitcoinj.crypto.MnemonicCode: void initializeFromWords(java.util.ArrayList,java.lang.String)>";1;1
"<io.netty.handler.ssl.OpenSslEngine: void <clinit>()>";0;1
"<com.greenaddress.greenbits.KeyStoreAES: void createKey(boolean)>";1;1
"<okio.Buffer: java.lang.String toString()>";0;0
"<com.greenaddress.greenbits.ui.PinActivity: void tryDecrypt()>";1;1
"<com.greenaddress.greenbits.ui.PinActivity: void tryDecrypt()>";1;1
"<com.greenaddress.greenbits.ui.PinActivity: void tryDecrypt()>";1;1
"<com.greenaddress.greenbits.ui.PinActivity: void tryDecrypt()>";1;1
"<com.greenaddress.greenbits.ui.PinActivity: javax.crypto.Cipher getAESCipher()>";1;1
"<okio.ByteString: okio.ByteString digest(java.lang.String)>";0;0
"<io.netty.handler.ssl.OpenSslClientContext: void <init>(java.security.cert.X509Certificate[],javax.net.ssl.TrustManagerFactory,java.security.cert.X509Certificate[],java.security.PrivateKey,java.lang.String,javax.net.ssl.KeyManagerFactory,java.lang.Iterable,io.netty.handler.ssl.CipherSuiteFilter,io.netty.handler.ssl.ApplicationProtocolConfig,long,long)>";0;1
"<io.netty.handler.ssl.JdkSslClientContext: javax.net.ssl.SSLContext newSSLContext(java.security.cert.X509Certificate[],javax.net.ssl.TrustManagerFactory,java.security.cert.X509Certificate[],java.security.PrivateKey,java.lang.String,javax.net.ssl.KeyManagerFactory,long,long)>";0;1
"<io.netty.handler.ssl.JdkSslClientContext: javax.net.ssl.SSLContext newSSLContext(java.security.cert.X509Certificate[],javax.net.ssl.TrustManagerFactory,java.security.cert.X509Certificate[],java.security.PrivateKey,java.lang.String,javax.net.ssl.KeyManagerFactory,long,long)>";0;1
"<io.netty.handler.ssl.JdkSslServerContext: javax.net.ssl.SSLContext newSSLContext(java.security.cert.X509Certificate[],javax.net.ssl.TrustManagerFactory,java.security.cert.X509Certificate[],java.security.PrivateKey,java.lang.String,javax.net.ssl.KeyManagerFactory,long,long)>";0;1
"<io.netty.handler.ssl.JdkSslServerContext: javax.net.ssl.SSLContext newSSLContext(java.security.cert.X509Certificate[],javax.net.ssl.TrustManagerFactory,java.security.cert.X509Certificate[],java.security.PrivateKey,java.lang.String,javax.net.ssl.KeyManagerFactory,long,long)>";0;1
"<org.bitcoinj.protocols.payments.PaymentProtocol: org.bitcoinj.protocols.payments.PaymentProtocol$PkiVerificationData verifyPaymentRequestPki(org.bitcoin.protocols.payments.Protos$PaymentRequest,java.security.KeyStore)>";0;0
"<org.bitcoinj.protocols.payments.PaymentProtocol: org.bitcoinj.protocols.payments.PaymentProtocol$PkiVerificationData verifyPaymentRequestPki(org.bitcoin.protocols.payments.Protos$PaymentRequest,java.security.KeyStore)>";0;0
"<org.bitcoinj.protocols.payments.PaymentProtocol: org.bitcoinj.protocols.payments.PaymentProtocol$PkiVerificationData verifyPaymentRequestPki(org.bitcoin.protocols.payments.Protos$PaymentRequest,java.security.KeyStore)>";0;0
"<io.netty.handler.ssl.JdkSslContext: void <clinit>()>";0;1
"<io.netty.handler.ssl.JdkSslContext: void <clinit>()>";0;1
"<io.netty.handler.ssl.JdkSslContext: void <clinit>()>";0;1
"<io.netty.handler.ssl.JdkSslContext: void <clinit>()>";0;1
"<io.netty.handler.ssl.OpenSslServerContext: void <init>(java.security.cert.X509Certificate[],javax.net.ssl.TrustManagerFactory,java.security.cert.X509Certificate[],java.security.PrivateKey,java.lang.String,javax.net.ssl.KeyManagerFactory,java.lang.Iterable,io.netty.handler.ssl.CipherSuiteFilter,io.netty.handler.ssl.OpenSslApplicationProtocolNegotiator,long,long,io.netty.handler.ssl.ClientAuth)>";0;1
